Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$25.815,2.835,12.337%,42600223.00,United States,,23531,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.8375,0.0472,5.972%,100959462.00,Canada,2015,8423799,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$33.04,-0.498,-1.485%,110317686.00,United States,1988,3627,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$11.02,0.26,2.416%,17035642.00,United States,,317794,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$26.69,-0.54,-1.983%,113226560.00,United States,,10924,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.89,0.13,1.484%,451183306.00,United States,,22279,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.40,-0.28,-10.448%,90458513.00,,2018,668750,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.61,0.03,1.163%,103590931.00,United States,,3081343,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$8.20,0.20,2.50%,20942160.00,United States,2014,26081,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.93,0.14,7.821%,61238427.00,United States,,1693031,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$3.065,-0.085,-2.698%,71155005.00,China,,964128,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$2.25,0.12,5.634%,416373750.00,United States,,5559728,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.88,0.00,0.00%,16591680.00,United States,,109441,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$20.20,2.48,13.995%,139503967.00,United States,2020,287295,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$19.54,2.64,15.621%,265311091.00,Canada,,2264145,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$6.24,0.58,10.247%,128271768.00,United States,,63593,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.48,-0.01,-0.671%,132561649.00,Canada,,4148933,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.50,-0.29,-2.962%,129071988.00,United States,,636386,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.8998,0.0358,4.144%,136331084.00,United States,,2837927,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.70,0.20,5.714%,14339095.00,United States,,80005,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.90,-0.03,-1.024%,405315432.00,Canada,,851209,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$8.88,0.2958,3.446%,143891227.00,,,11110,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$35.00,0.15,0.43%,186374685.00,United States,,29101,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.8153,0.0653,0.254%,,United States,,5193,,
BDL,Flanigan's Enterprises Inc. Common Stock,$26.48,2.126,8.73%,49216973.00,United States,,3550,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$2.22,0.37,20.00%,25695199.00,United States,,4322880,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$2.31,0.39,20.313%,41512735.00,Canada,,1079177,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$24.46,0.32,1.326%,365152700.00,United States,,26698,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.6514,-0.3386,-3.766%,348874860.00,,2018,40004,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$3.99,0.12,3.101%,49922744.00,United States,,73492,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$14.00,-0.03,-0.214%,170804228.00,,2018,95651,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$19.82,0.19,0.968%,244704657.00,,,24917,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.71,0.19,1.649%,279256368.00,,2014,344886,Consumer Services,Real Estate Investment Trusts
BRG^A,Bluerock Residential Growth REIT Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share),$25.28,0.00,0.00%,,,,11325,,
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.625,0.095,0.372%,,,,495,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.8081,-0.0919,-0.355%,,,,1425,,
BRN,Barnwell Industries Inc. Common Stock,$3.33,0.13,4.063%,27562943.00,United States,,1377723,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$5.05,-0.07,-1.367%,5305490499.00,Canada,,5848225,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.62,0.16,6.504%,38750780.00,United States,,1054920,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$11.00,0.02,0.182%,,United States,,680,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.40,0.14,6.195%,36993557.00,Israel,,3806024,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$112.00,1.00,0.901%,1057995792.00,United States,,19051,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.24,-0.02,-0.38%,62959203.00,United States,,5251,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.69,0.01,0.595%,42250000.00,United States,,6828189,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$35.10,0.03,0.086%,905127561.00,United States,,15005,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.82,0.04,0.29%,98586007.00,United States,1999,15975,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.7399,0.1199,1.129%,115757918.00,,2020,40455,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$10.35,0.05,0.485%,123516900.00,,2021,26820,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.32,-0.01,-0.30%,173652364.00,United States,,1670820,,
CIX,CompX International Inc. Common Stock,$14.16,-0.27,-1.871%,176308383.00,United States,1998,1431,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.235,0.2949,2.696%,21823931.00,United States,,1714,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.13,0.26,2.02%,999469032.00,United States,1987,908956,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$16.08,0.07,0.437%,194870674.00,Canada,,101687,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$12.25,-0.14,-1.13%,97655444.00,United States,,18228,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$18.4601,-0.2399,-1.283%,24631625.00,United States,,5888,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.09,0.1578,16.928%,49681717.00,China,,3260612,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$38.82,-0.52,-1.322%,18789641765.00,United States,2007,79776,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.83,0.21,1.664%,516232242.00,United States,,403617,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.88,-0.04,-1.02%,277082766.00,,2015,3905045,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.645,-0.005,-0.189%,28174670.00,United States,2017,267505,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$23.57,-0.86,-3.52%,937317642.00,United States,,528239,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.40,-0.05,-0.189%,25505885.00,United States,,1248,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.98,0.30,6.41%,59517330.00,United States,,325091,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.35,0.01,0.427%,243242395.00,United States,1998,4884318,,
DIT,AMCON Distributing Company Common Stock,$110.50,1.50,1.376%,60926275.00,United States,,1603,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$26.20,2.79,11.918%,182736092.00,United States,,125162,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.10,0.07,0.775%,188832262.00,United States,1988,43818,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$0.9292,0.0665,7.708%,630694331.00,Canada,,13500138,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$5.19,0.22,4.427%,144040987.00,United States,,9320462,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$4.01,0.19,4.974%,54146541.00,United States,,13541691,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.58,0.02,1.282%,32982293.00,China,,379058,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$13.86,0.31,2.288%,55630021.00,United States,,13334,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.31,0.00,0.00%,503471438.00,United States,2003,161821,,
ECF,Ellsworth Growth and Income Fund Ltd.,$16.095,-0.035,-0.217%,212535392.00,United States,1986,70381,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.32,0.00,0.00%,,United States,,522,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.58,0.02,0.147%,977124239.00,United States,2002,140745,,
ELA,Envela Corporation Common Stock,$6.77,0.18,2.731%,182278059.00,United States,,68496,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$33.91,0.00,0.00%,429032508.00,Israel,,174,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.25,0.34,3.116%,96819525.00,United States,2011,136747,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.71,0.72,24.08%,250423523.00,United States,,5972325,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.59,-0.06,-1.644%,302771481.00,Canada,,557438,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$2.53,-0.22,-8.00%,13010543.00,United States,,5583114,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.41,0.05,0.405%,224848029.00,United States,2002,101692,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.39,-0.01,-0.294%,113532965.00,United States,,155005,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$10.07,-0.07,-0.69%,2435632652.00,Canada,,1159614,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.67,0.17,1.36%,356433555.00,United States,2003,97306,,
ERH,Wells Fargo Utilities and High Income Fund,$12.88,-0.0297,-0.23%,119462837.00,,2004,19792,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$20.00,0.0951,0.478%,54052660.00,United States,,9561,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$30.54,-0.15,-0.489%,164431605.00,United States,,11204,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$41.58,0.35,0.849%,549223193.00,United States,,11892,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.67,0.03,0.258%,291683936.00,United States,2002,111928,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.71,0.00,0.00%,1476228599.00,United States,2003,621812,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.00,-0.09,-0.639%,75625592.00,United States,1999,33331,,
EXN,Excellon Resources Inc. Common Shares,$3.24,-0.10,-2.994%,103903560.00,,2020,99150,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.48,0.03,0.674%,1109677045.00,United States,1986,645420,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.08,-0.03,-0.37%,70546044.00,United States,1992,54449,,
FEN,First Trust Energy Income and Growth Fund,$12.00,-0.05,-0.415%,240250020.00,United States,2004,92247,,
FRD,Friedman Industries Inc. Common Stock,$7.34,0.02,0.273%,51702476.00,United States,,30334,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$4.33,0.59,15.775%,53001560.00,Canada,,3676936,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$4.51,0.08,1.806%,484050177.00,United States,,370997,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.48,0.04,0.424%,285716156.00,United States,2003,96990,,
FTSI,FTS International Inc. Class A Common Stock,$18.85,-0.10,-0.528%,263898605.00,United States,2020,41592,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.81,0.10,5.848%,213261181.00,,2020,1567677,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.40,0.03,2.19%,313919931.00,Canada,,1935045,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$7.67,0.44,6.086%,39361941.00,United States,,2479621,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.78,0.03,0.279%,136429362.00,United States,2017,21000,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.57,0.02,0.563%,588733987.00,United States,2005,914121,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.566,-0.014,-0.055%,,United States,,1094,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$14.125,1.1249,8.653%,21889894.00,,2016,535,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$41.10,0.1999,0.489%,,,,680,,
GLDG,GoldMining Inc. Common Shares,$1.77,-0.02,-1.117%,261303673.00,,,465723,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.71,0.11,0.873%,409572277.00,United States,2006,152732,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.85,0.26,1.668%,209708640.00,United States,2005,120865,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.25,0.3193,1.687%,103441377.00,United States,2004,35429,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.52,0.00,0.00%,,United States,,11,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.05,0.0505,0.097%,,United States,,860,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.225,0.075,0.673%,94376702.00,United States,2004,60174,,
GOED,1847 Goedeker Inc. Commom Stock,$13.73,0.11,0.808%,83906776.00,United States,2020,91136,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$3.01,0.01,0.333%,216315745.00,United States,,948843,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.886,0.0323,3.784%,314288847.00,Canada,,6966577,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$7.87,0.03,0.383%,32064906.00,United States,,1665,,
GSAT,Globalstar Inc. Common Stock,$2.08,0.85,69.106%,3474442972.00,United States,2006,286954261,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.92,-0.05,-1.259%,436142497.00,United States,,316626,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.74,0.0104,1.425%,233221064.00,Canada,,6407176,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8203,0.0583,7.651%,301034970.00,Canada,,57873804,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.516,-0.0147,-0.058%,,United States,,15255,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.05,0.00,0.00%,12137338.00,United States,,19,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.75,-0.13,-0.874%,122908653.00,United States,2007,21017,,
HUSA,Houston American Energy Corporation Common Stock,$2.70,0.14,5.469%,18839839.00,United States,,3559152,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$78.30,0.7579,0.977%,,United States,,306,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.50,0.05,0.917%,127195756.00,United States,,39511,,
IBIO,iBio Inc. Common Stock,$2.62,0.20,8.264%,565946019.00,United States,,22891968,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$8.71,0.33,3.938%,286327819.00,United States,2017,71607,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$2.25,0.26,13.065%,96264821.00,United States,,18760305,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.82,-0.08,-2.759%,26153315.00,United States,,314262,Consumer Services,Real Estate Investment Trusts
